length,rapidfuzz,fuzzywuzzy
423,2.21961229981389E-05,0.000252922525004
425,2.23008269967977E-05,0.000244248580988
427,2.24257679947186E-05,0.000243445339001
429,2.25882500089938E-05,0.000247567186991
431,2.27186690026429E-05,0.000248349325993
433,2.28348119999282E-05,0.000249345353994
435,2.29027549939929E-05,0.000251928556987
437,2.31314020056743E-05,0.000256129606991
439,2.32838389929384E-05,0.000255168606993
441,2.33721849945141E-05,0.000260447307999
443,2.35026190057397E-05,0.000257077598988
445,2.35554029932246E-05,0.000258714976997
447,2.37297389976447E-05,0.000260611402002
449,2.38142980088014E-05,0.000262131976997
451,2.38362539967056E-05,0.000266352199993
453,2.39051419921452E-05,0.000281028097001
455,2.40683419979177E-05,0.000268686568001
457,2.41456990042934E-05,0.000271785221994
459,2.42876329866704E-05,0.000274382782009
461,2.51820120029151E-05,0.000282877685007
463,2.56972520001E-05,0.000276005224994
465,2.60798090021126E-05,0.000281397275001
467,2.62422189989593E-05,0.000284468792001
469,2.62903050024761E-05,0.000286695759001
471,2.65968489984516E-05,0.000288200312003
473,2.67229219898581E-05,0.000290769472005
475,2.68169250048231E-05,0.000292145464991
477,2.6998265995644E-05,0.000295544829991
479,2.7104471999337E-05,0.000295676184003
481,2.73463979974622E-05,0.000304295665992
483,2.74004740058444E-05,0.000298826704005
485,2.77330300014E-05,0.000304853094
487,2.78352840105072E-05,0.000316673979003
489,2.77783229976194E-05,0.000303586716007
491,2.79320939880563E-05,0.000305968882996
493,2.79393950040685E-05,0.000308438227992
495,2.82377989933593E-05,0.000317216508003
497,2.837137899769E-05,0.000312553312004
499,2.85465140041197E-05,0.000313937537998
501,2.86481149960309E-05,0.000325767661998
503,2.87243549973937E-05,0.000326484288002
505,2.88808229961432E-05,0.000320979479002
507,2.90304939990165E-05,0.000330497021001
509,2.93375809997087E-05,0.000324004906011
511,2.94196659961017E-05,0.000326483611003
