length,rapidfuzz,fuzzywuzzy
91,4.82580500829499E-06,4.74069240008248E-05
93,5.15173299936578E-06,4.8107725000591E-05
95,5.38666000647936E-06,4.81935019925004E-05
97,5.48928900389001E-06,4.79790909885196E-05
99,5.66292800067458E-06,4.87693820032291E-05
101,5.83528300921898E-06,4.95644610055024E-05
103,5.96107699675486E-06,5.14841729891486E-05
105,6.04860398743767E-06,5.1574775003246E-05
107,6.1147219967097E-06,5.2425817004405E-05
109,6.32886200037319E-06,5.32657359872246E-05
111,6.38985900150146E-06,5.41569810011424E-05
113,6.46347799920477E-06,5.507745599607E-05
115,6.62947499949951E-06,5.60818939993624E-05
117,6.69540600210894E-06,5.7543410002836E-05
119,6.73505800659768E-06,5.86832690023584E-05
121,6.80392800131813E-06,5.86950319993775E-05
123,6.92254399473313E-06,6.13937800080748E-05
125,7.00830599816982E-06,5.97427900065668E-05
127,7.20657699275762E-06,6.45058970112586E-05
129,7.31743199867196E-06,6.37374700017972E-05
131,7.37725100771058E-06,6.62914559943601E-05
133,7.62262901116628E-06,6.50039709871635E-05
135,7.66622599621769E-06,6.60470179864205E-05
137,7.87455300451256E-06,6.898333200661E-05
139,8.08014399081003E-06,6.80116519943113E-05
141,8.18421700387262E-06,6.70854359923396E-05
143,8.25917099427898E-06,6.93210309982533E-05
145,8.31378500151914E-06,6.918909799424E-05
147,8.55747400783003E-06,7.0412610002677E-05
149,8.62460800271947E-06,7.37628859933466E-05
151,8.90040800732095E-06,7.22183610050706E-05
153,8.89194199407939E-06,7.29218190099345E-05
155,9.12645300559234E-06,7.46305249922443E-05
157,9.21508399187587E-06,7.51604730030522E-05
159,9.45160500123166E-06,7.62204909988213E-05
161,9.47977699979674E-06,7.72874399990542E-05
163,9.67853600741364E-06,8.03830859949812E-05
165,9.85487100842875E-06,7.98060359957162E-05
167,9.99063800554723E-06,8.08450280019315E-05
169,1.00106579920976E-05,8.23448349983664E-05
171,1.01453829993261E-05,8.4089509997284E-05
173,1.02192089980235E-05,8.56180529954145E-05
175,1.03603530005785E-05,8.64977399905911E-05
177,1.04500040033599E-05,8.47222849988611E-05
179,1.06902629922843E-05,8.85351839970099E-05
181,1.07536620052997E-05,9.00133730028756E-05
183,1.09361880022334E-05,8.90102660050616E-05
185,1.1180030007381E-05,9.04947560047731E-05
187,1.14299800043227E-05,9.26568360009696E-05
189,1.1607210006332E-05,9.24736960005248E-05
191,1.17401200113818E-05,9.42111969925463E-05
193,1.21311219991185E-05,9.35949769918807E-05
195,1.23223709961167E-05,9.6554735006066E-05
197,1.25187759986147E-05,9.75668509927345E-05
199,1.2667925999267E-05,9.93663300032495E-05
201,1.27524359995732E-05,9.98418339877389E-05
203,1.29590849974193E-05,0.000100417999012
205,1.30331569962436E-05,0.00010514254999
207,1.32467599905794E-05,0.000102989747
209,1.3476078005624E-05,0.000104228718003
211,1.3608667999506E-05,0.000104830119002
213,1.36875059979502E-05,0.000108348651003
215,1.37812829925679E-05,0.000108519451009
217,1.3947213999927E-05,0.000108150018001
219,1.41735009965487E-05,0.000109729559001
221,1.43599220027681E-05,0.000110047725
223,1.44931719987653E-05,0.000111628311992
225,1.45427200041013E-05,0.000112401690989
227,1.46445320133353E-05,0.000113490199001
