length,token_ratio,"max(token_sort_ratio, token_set_ratio)"
295,1.8836739007383585e-05,2.0499071004451252e-05
297,1.8944594005006366e-05,2.062175299215596e-05
299,1.9042781001189724e-05,2.0726933988044038e-05
301,1.9163238001056017e-05,2.0840764002059588e-05
303,1.9270346994744614e-05,2.095438400283456e-05
305,2.0252809990779495e-05,2.1142344005056657e-05
307,1.956504500412848e-05,2.1284190996084364e-05
309,1.9699409007444045e-05,2.1421003009891138e-05
311,1.9809046003501863e-05,2.155130499158986e-05
313,1.992656500078738e-05,2.166460700391326e-05
315,2.0176229008939116e-05,2.195307600777596e-05
317,2.027172999805771e-05,2.2048954997444524e-05
319,2.0365589007269593e-05,2.217445800488349e-05
321,2.0619966002414003e-05,2.2443057008786128e-05
323,2.3023415997158737e-05,2.4964662006823346e-05
325,2.3592818004544824e-05,2.5539834998198786e-05
327,2.380138498847373e-05,2.575855399481952e-05
329,2.3946271001477726e-05,2.5908566996804437e-05
331,2.4056018999544903e-05,2.6023064012406393e-05
333,2.4177117011277006e-05,2.6158360007684677e-05
335,2.424943199730478e-05,2.6284958003088833e-05
337,2.434978999372106e-05,2.6405270007671788e-05
339,2.460976500879042e-05,2.670202899025753e-05
341,2.4742819005041383e-05,2.686111799266655e-05
343,2.4848608998581768e-05,2.6975697997841053e-05
345,2.4978101006126962e-05,2.7083540000603533e-05
347,2.4954359003459104e-05,2.721276799275074e-05
349,2.52273029909702e-05,2.7344267000444233e-05
351,2.5365891997353173e-05,2.7485244994750248e-05
353,2.555499599839095e-05,2.763506499468349e-05
355,2.563916699727997e-05,2.7754969996749422e-05
357,2.6174886006629094e-05,2.9714279997278937e-05
359,2.6395692999358287e-05,2.838588999293279e-05
361,2.612926399160642e-05,2.8199296008097007e-05
363,2.7262470990535802e-05,2.8840640996349974e-05
365,2.6453169994056225e-05,2.881344800698571e-05
367,2.740654999797698e-05,2.8632949994062074e-05
369,2.6593002010486088e-05,2.867451700149104e-05
371,2.6715632993727923e-05,2.888022099796217e-05
373,2.684686300926842e-05,2.9016397995292208e-05
375,2.6973248008289375e-05,2.9133898991858587e-05
377,2.7091374999145047e-05,2.9259622999234126e-05
379,2.7221078998991287e-05,2.9426848006551155e-05
381,2.7353994999430142e-05,2.9544760007411243e-05
383,2.74757570005022e-05,2.9666283997357823e-05
385,2.760843800206203e-05,2.981797700340394e-05
387,2.9956710000988096e-05,3.210264899826143e-05
389,3.065246599726379e-05,3.2826374997966924e-05
391,3.084930300246924e-05,3.304903600655962e-05
393,3.104612699826248e-05,3.323094399820548e-05
395,3.118591800739523e-05,3.340219501114916e-05
397,3.1319595000240954e-05,3.3536854010890236e-05
399,3.14723149931524e-05,3.366483100398909e-05
401,3.16364050086122e-05,3.3845988000393845e-05
403,3.170989599311724e-05,3.39478189998772e-05
405,3.189410099002998e-05,3.414843500650022e-05
407,3.204184700734913e-05,3.4256284998264163e-05
409,3.217192500596866e-05,3.4400930991978384e-05
411,3.2125240992172624e-05,3.4539949003374205e-05
413,3.245091599819716e-05,3.4696975999395365e-05
415,3.261211600329261e-05,3.485080199607182e-05
417,3.274205699563027e-05,3.5001237993128594e-05
419,3.2914330004132355e-05,3.519239299930632e-05
421,3.305826400173828e-05,3.533457599405665e-05
423,3.3191743001225406e-05,3.548722299456131e-05
425,3.333641700737644e-05,3.561109901056625e-05
