length,rapidfuzz,fuzzywuzzy
131,6.60331500694156E-06,0.000328145570005
133,6.64158299332485E-06,0.000346029840002
135,6.88962999265641E-06,0.000356271308992
137,6.63729399093427E-06,0.000367781659006
139,6.56749299378134E-06,0.000383125246997
141,6.47273997310549E-06,0.000394577065992
143,6.55617899610661E-06,0.000407879324004
145,6.53521399362944E-06,0.000422807158
147,6.80512399412692E-06,0.000444903967989
149,6.99133501620963E-06,0.000451123204999
151,6.8971760047134E-06,0.000467328398008
153,7.14269897434861E-06,0.000475656690003
155,7.05096698948182E-06,0.000498556334001
157,7.32000399148092E-06,0.000505939109993
159,7.64408201212063E-06,0.000534514167986
161,7.55027399281971E-06,0.000538762751996
163,7.55109600140713E-06,0.000566732533989
165,7.63030897360295E-06,0.000584199977995
167,7.82947000698187E-06,0.000606073689996
169,7.94980098726228E-06,0.000622720041996
171,7.88957800250501E-06,0.000646223635995
173,7.82123100361787E-06,0.000654810705004
175,7.90103999315761E-06,0.000661338242004
177,8.09861099696718E-06,0.000670324886989
179,8.13316399580799E-06,0.000702076225993
181,8.37798399152234E-06,0.000711983032001
183,8.21249300497584E-06,0.000742023493003
185,8.47890897421166E-06,0.000758340368004
187,8.602421003161E-06,0.000794280504007
189,8.64550800179131E-06,0.000813599636997
191,8.63917398964986E-06,0.000823841916994
193,8.95627200952731E-06,0.000859291096989
195,8.96682200254872E-06,0.000881994826996
197,9.3497030029539E-06,0.000913025451009
199,9.33693099068478E-06,0.000945565276008
201,9.30512498598546E-06,0.000979019174003
203,9.41972699365579E-06,0.000991696323006
205,9.59087401861325E-06,0.001012970413998
207,9.64070300688036E-06,0.001074474173001
209,9.69951000297442E-06,0.001086963397
211,9.80864901794121E-06,0.001097527545993
213,9.85000500804745E-06,0.001135551372994
215,1.0089172021253E-05,0.001150988542999
217,1.01214300084393E-05,0.001202153113991
219,1.03305699885823E-05,0.001229886403002
221,1.04789189936128E-05,0.001251185193993
223,1.05820699827746E-05,0.001298486073996
225,1.0621072986396E-05,0.001328432402006
227,1.06762380164582E-05,0.001363940951996
229,1.07387840107549E-05,0.001385332295991
231,1.07912840030622E-05,0.001401298935991
233,1.10201250063255E-05,0.001439200560999
235,1.10758059890941E-05,0.001482242383994
237,1.12332779972348E-05,0.001506333233992
239,1.1378427996533E-05,0.001522986696989
241,1.1415721004596E-05,0.001534365729996
243,1.16394799842965E-05,0.001576968393012
245,1.16976189892739E-05,0.001583873921001
247,1.18533640052192E-05,0.001643613223001
249,1.20830059750006E-05,0.001675085655996
251,1.21427680132911E-05,0.001714046094014
253,1.23760340211447E-05,0.001777892553
255,1.24674800026696E-05,0.001790619079009
257,1.24691099917982E-05,0.001808596748
259,1.26552279980388E-05,0.001880376322995
261,1.27585220034234E-05,0.001923161523999
263,1.28689279954415E-05,0.001913009069001
265,1.29350020142738E-05,0.001942478614001
267,1.35215620102826E-05,0.002008277328001
269,1.3595972006442E-05,0.00204167603
271,1.36784589849412E-05,0.002095614883001
273,1.38413849927019E-05,0.002114724005005
275,1.40022530104034E-05,0.002126860392993
277,1.42297889979091E-05,0.002172092855006
279,1.43214599811472E-05,0.002230924755
281,1.43944210140035E-05,0.002262871076004
283,1.44870479998644E-05,0.002287038871
285,1.46592739911284E-05,0.002323925487013
287,1.48205980076455E-05,0.002331956166992
289,1.50457629933953E-05,0.002423113369005
291,1.50959930033423E-05,0.002458578442995
293,1.51895199960563E-05,0.002478990513991
295,1.54312069935258E-05,0.002511073576999
297,1.54844580101781E-05,0.002589987275001
299,1.55708999955095E-05,0.002627303308996
301,1.57721879950259E-05,0.002669795608992
303,1.5879448998021E-05,0.002740869168003
305,1.60535649920348E-05,0.002795340593002
307,1.61075750074815E-05,0.002807334294004
309,1.62923810130451E-05,0.002848923088997
311,1.63903379871044E-05,0.002938080673994
313,1.64882380049676E-05,0.002986024529993
315,1.65688199922442E-05,0.003015374384006
317,1.68776409991551E-05,0.003047399185001
319,1.6903444979107E-05,0.003136643113001
321,1.69983179948758E-05,0.003154541073003
323,1.7115572001785E-05,0.003180889451993
325,1.72362989978865E-05,0.003199951737988
327,1.74145410128403E-05,0.003226552414999
329,1.76545919966884E-05,0.003325084764001
331,1.78467629884835E-05,0.003363294987998
333,1.80639349855483E-05,0.003386768630997
335,1.81685740244575E-05,0.003470797240996
337,1.82673039962538E-05,0.003511554637997
339,1.85194509977009E-05,0.003524670163999
341,1.86281659989618E-05,0.003635861392002
343,1.86575980042107E-05,0.003701915688987
345,1.87055349815637E-05,0.003754025344999
347,1.87799590057693E-05,0.003795983303004
349,1.91217990068253E-05,0.003934887051
351,1.91727630153764E-05,0.003982768624002
353,1.93543969944585E-05,0.00398724869499
