length,rapidfuzz,fuzzywuzzy
101,1.2807399907615E-06,1.27196789981099E-05
103,1.28947300254367E-06,1.31754100002581E-05
105,1.30692099628504E-06,1.36031500005629E-05
107,1.30822199571412E-06,1.40553809906123E-05
109,1.33037200430408E-06,1.4490190995275E-05
111,1.36741099413484E-06,1.49794520111755E-05
113,1.32778400438838E-06,1.53850780043285E-05
115,1.41640601214021E-06,1.59352909977315E-05
117,1.43086600292008E-06,1.64304909994826E-05
119,1.50674299220555E-06,1.69302010035608E-05
121,1.52212999819312E-06,1.74381039978471E-05
123,1.51945999823511E-06,1.78983369987691E-05
125,1.53402499563526E-06,1.84460800082888E-05
127,1.5444829914486E-06,1.89597910066368E-05
129,2.16082700353581E-06,1.95419039955596E-05
131,2.19423898670357E-06,2.01038289960707E-05
133,2.23238300532103E-06,2.06490410055267E-05
135,2.2727800096618E-06,2.11883579904679E-05
137,2.2835470008431E-06,2.17567070067162E-05
139,2.31690899818204E-06,2.23485750029795E-05
141,2.34510899463203E-06,2.29279880004469E-05
143,2.3488169972552E-06,2.35136929986766E-05
145,2.39332500495948E-06,2.41230209940113E-05
147,2.42076300492045E-06,2.47032180050155E-05
149,2.46968999272212E-06,2.53330700070364E-05
151,2.49508100387175E-06,2.59493789926637E-05
153,2.50147400947753E-06,2.65845480025746E-05
155,2.54529900848866E-06,2.7259505004622E-05
157,2.57158100430388E-06,2.78730260033626E-05
159,2.60467400948983E-06,2.8544213011628E-05
161,2.61037799646147E-06,2.91758380044484E-05
163,2.64125599642284E-06,2.9838317001122E-05
165,2.68135200894903E-06,3.05013460019836E-05
167,2.7167239895789E-06,3.11893150064861E-05
169,2.71862000226974E-06,3.187775000697E-05
171,2.76082700293045E-06,3.25934839929687E-05
173,2.78027899912558E-06,3.33025139989331E-05
175,2.81676500162575E-06,3.40638569905423E-05
177,2.84122099401429E-06,3.47711829963373E-05
179,2.85465600609314E-06,3.54750020051142E-05
181,2.89241799328011E-06,3.62367519992404E-05
183,2.92429700493813E-06,3.69598539982689E-05
185,2.9597099928651E-06,3.77798759873258E-05
187,2.97883900930174E-06,3.84871159913018E-05
189,3.01223300630227E-06,3.92873859964311E-05
191,3.02430700685363E-06,4.00837130000582E-05
193,3.83131799753755E-06,4.08883979980601E-05
195,3.89273698965553E-06,4.16864900034852E-05
197,3.90730400977191E-06,4.24542690016096E-05
199,3.95057299465407E-06,4.3268289999105E-05
201,3.99862500489689E-06,4.41669400024693E-05
203,4.02044600923546E-06,4.50257100019371E-05
205,4.05098199553322E-06,4.58188870106824E-05
207,4.09133400535211E-06,4.6602927002823E-05
209,4.12637600675225E-06,4.74804439872969E-05
211,4.16492999647744E-06,4.84296560025541E-05
213,4.1801039915299E-06,4.9247294999077E-05
215,4.23279199458193E-06,5.01784619991667E-05
217,4.28354300674982E-06,5.10129699978279E-05
219,4.27866999234539E-06,5.19244929892011E-05
221,4.31871699402109E-06,5.29007059958531E-05
223,4.32434400136117E-06,5.37974940089043E-05
225,4.37815699842759E-06,5.46813690016279E-05
227,4.44102400797419E-06,5.56431220029481E-05
229,4.45738399866969E-06,5.65959759987891E-05
231,4.48282000434119E-06,5.75100520072738E-05
233,4.53681600629352E-06,5.83943009987706E-05
235,4.54678700771183E-06,5.9476677008206E-05
237,4.59329600562342E-06,6.04012260009767E-05
239,4.64961200486869E-06,6.141899600334E-05
241,4.64540800021496E-06,6.24044909927761E-05
243,4.71628199738916E-06,6.33553249936085E-05
245,4.73477400373668E-06,6.43678170017665E-05
247,4.77741699432954E-06,6.53613809990929E-05
249,4.81464399490505E-06,6.64204819913721E-05
251,4.85143400146626E-06,6.75003880023724E-05
253,4.86258899036329E-06,6.85486650036182E-05
255,4.88934399618302E-06,6.95654189912602E-05
257,6.0363079974195E-06,7.07229599938728E-05
259,6.07460799801629E-06,7.16848729935009E-05
261,6.12732300942298E-06,7.27618700038875E-05
263,6.217911010026E-06,7.38180149928667E-05
265,6.21507700998336E-06,7.48837370047113E-05
267,6.29289400239941E-06,7.60358730040025E-05
269,6.33080999250524E-06,7.72066040080972E-05
271,6.3760189950699E-06,7.82739690039307E-05
