length,rapidfuzz,fuzzywuzzy
64,4.0807225013850255e-06,2.6731911500974093e-05
66,4.164379752182867e-06,3.053409949643537e-05
68,4.4371847543516195e-06,3.403119050199166e-05
70,4.742760997032747e-06,3.746063500148011e-05
72,4.502883493842091e-06,4.003091324557317e-05
74,4.994180504581891e-06,4.2630213254597036e-05
76,4.806386750715319e-06,4.513365749880904e-05
78,4.865585251536686e-06,4.7748196993779854e-05
80,5.024274752940983e-06,4.9849814000481274e-05
82,5.341382246115245e-06,5.172131399740465e-05
84,5.122525755723473e-06,5.44580527493963e-05
86,5.058931252278853e-06,5.6084529249346815e-05
88,5.57407225278439e-06,5.810178074898431e-05
90,5.321361000824254e-06,5.9666204499080777e-05
92,6.041796252247877e-06,6.10784387536114e-05
94,5.899294752452988e-06,6.284436475107213e-05
96,6.589656499272678e-06,6.481868850096361e-05
98,6.071108997275587e-06,6.667036550061312e-05
100,5.862179496034514e-06,6.785039924579906e-05
102,6.895076498039998e-06,6.941034374904121e-05
104,6.166662249597721e-06,7.096386099874507e-05
106,6.469290499808266e-06,7.280426700162935e-05
108,7.069765997584909e-06,7.408455175027484e-05
110,6.846971999038942e-06,7.581984224816551e-05
112,6.185110250953585e-06,7.69257709980593e-05
114,6.2194650017772805e-06,7.815242000651779e-05
116,6.308309501037002e-06,8.021738049865234e-05
118,6.392998002411332e-06,8.089490875136107e-05
120,6.3897272484609856e-06,8.210419299575733e-05
122,6.487113743787631e-06,8.370106499933173e-05
124,6.5919587505050004e-06,8.504874649952398e-05
126,6.645313253102358e-06,8.558536725468002e-05
128,6.769491752493195e-06,8.742505424743285e-05
130,6.863367998448666e-06,8.865795349993278e-05
132,6.918816499819513e-06,8.937598225020338e-05
134,7.035828246443998e-06,9.110780350601999e-05
136,7.075182751577813e-06,9.238651549821953e-05
138,7.112578998203389e-06,9.3056585501472e-05
140,7.251205497595947e-06,9.392320975166512e-05
142,7.3721027511055585e-06,9.577165725204396e-05
144,7.437738997396082e-06,9.694164949905826e-05
146,7.514312506827991e-06,9.795410875085509e-05
148,7.5971365004079416e-06,9.915488249680493e-05
150,7.693377250689083e-06,0.00010028944700025022
152,7.754992497211788e-06,0.00010110673750023124
154,7.8305767456186e-06,0.00010238977249537128
156,7.90202525240602e-06,0.00010368503700010478
158,7.979307498317212e-06,0.00010485763324686559
160,8.099225502519403e-06,0.00010565899624634768
162,8.22038274782244e-06,0.00010667041374836117
164,8.246935249189846e-06,0.00010800669949821895
166,8.34087400289718e-06,0.00010869731124694226
168,8.44341675110627e-06,0.00010997180474805645
170,8.444062499620485e-06,0.0001109766910012695
172,8.62212700303644e-06,0.0001120135044984636
174,8.66440874960972e-06,0.00011332015424704877
176,8.721732250705827e-06,0.00011393709874391789
178,8.785910256847273e-06,0.00011486644225078635
180,8.891359255358111e-06,0.00011611862300196663
182,8.973360003437848e-06,0.00011723934374458623
184,9.031881752889603e-06,0.00011821294824767392
186,9.133414001553319e-06,0.00011930617925099796
188,9.216081503836904e-06,0.00011927325175201986
190,9.30178025009809e-06,0.0001207948205046705
192,9.345343496534042e-06,0.00012178907124325633
194,9.478667750954628e-06,0.0001225103710021358
196,9.538543497910723e-06,0.0001234254227456404
198,9.686201250588055e-06,0.0001238914904970443
200,1.03878235022421e-05,0.00012440712124953278
202,1.0899308501393534e-05,0.00012538317374855977
204,9.986058750655501e-06,0.00012686147125350543
206,9.956121000868734e-06,0.00012845497875241564
208,9.9715272517642e-06,0.00012843452025117585
210,1.0214332251052838e-05,0.0001287421382512548
212,1.0305103998689447e-05,0.0001300750070004142
214,1.032122900505783e-05,0.00013139500100078295
216,1.0342260749894194e-05,0.0001324682210033643
218,1.0480408003786578e-05,0.0001330237792499247
220,1.0490970504179131e-05,0.00013424944924918236
222,1.0564419244474266e-05,0.00013525689800007967
224,1.060259700170718e-05,0.0001355653179998626
226,1.0759525750472676e-05,0.00013678445675031981
228,1.0800911746628117e-05,0.0001374983394998708
230,1.0911662750004326e-05,0.0001380593042485998
232,1.1019976751413196e-05,0.0001397447290000855
234,1.1087498249253258e-05,0.00013985616774880326
236,1.1180821995367296e-05,0.00014075126099487534
238,1.1375980502634775e-05,0.0001416390105005121
240,1.1311000751447863e-05,0.00014292381625273266
242,1.1400158000469673e-05,0.00014340954074577893
244,1.1541899002622813e-05,0.0001448329834965989
246,1.1803902001702227e-05,0.00014506810074817623
248,1.1568930502107832e-05,0.00014627448900137097
250,1.1751276251743548e-05,0.00014677531750203343
252,1.218685425556032e-05,0.00014778330799890683
254,1.2786340004822705e-05,0.00014856057699944359
256,1.2033623250317759e-05,
258,1.2148749498010147e-05,
260,1.2058717249601614e-05,
262,1.2229364998347592e-05,
264,1.2270615501620342e-05,
266,1.234763725369703e-05,
268,1.2399679500958882e-05,
270,1.2541139250970446e-05,
272,1.2597681503393687e-05,
274,1.2663057255849708e-05,
276,1.2660578002396505e-05,
278,1.2823402998037636e-05,
280,1.2871174003521447e-05,
282,1.2933987251017243e-05,
284,1.305290524760494e-05,
286,1.3167750505090225e-05,
288,1.3249814001028426e-05,
290,1.3333762755792122e-05,
292,1.3429534497845452e-05,
294,1.3530160751543008e-05,
296,1.3570817500294652e-05,
298,1.4115136000327766e-05,
300,1.3753788247413468e-05,
302,1.357440074934857e-05,
304,1.3924737999332138e-05,
306,1.4089729251281823e-05,
308,1.5567224996630104e-05,
310,1.4205324245267548e-05,
312,1.6040907248680013e-05,
314,1.4490796500467695e-05,
316,1.4514109250740148e-05,
318,1.4429118746193126e-05,
320,1.4885498501826077e-05,
322,1.4603151750634425e-05,
324,1.493191574991215e-05,
326,1.4722007254022174e-05,
328,1.5339587000198662e-05,
330,1.5003520755271894e-05,
332,1.54904427472502e-05,
334,1.5140084753511474e-05,
336,1.5941239500534722e-05,
338,1.6116574748593847e-05,
340,1.5393942005175632e-05,
342,1.5729185004602185e-05,
344,1.59135830035666e-05,
346,1.5879769998718986e-05,
348,1.6331056496710515e-05,
350,1.6117658000439405e-05,
352,1.5961187753418927e-05,
354,1.5917968499707058e-05,
356,1.595359374914551e-05,
358,1.6020594754081683e-05,
360,1.6140762505528984e-05,
362,1.6266034996078816e-05,
364,1.6284409997751937e-05,
366,1.6380390246922616e-05,
368,1.6675008249876556e-05,
370,1.6683195754012558e-05,
372,1.6773925744928418e-05,
374,1.6782728001999202e-05,
376,1.6817509502288885e-05,
378,1.681145774637116e-05,
380,1.6955365252215415e-05,
382,1.7264483249164185e-05,
384,1.694700049847597e-05,
386,1.7080210498534143e-05,
388,1.7626039501919876e-05,
390,1.7300775500189046e-05,
392,1.7368057247949766e-05,
394,1.9070295253186485e-05,
396,1.815176400123164e-05,
398,1.795757449872326e-05,
400,1.7774614250811283e-05,
402,1.7842093999206554e-05,
404,1.7917053250130266e-05,
406,1.804008574981708e-05,
408,1.8072440499963704e-05,
410,1.8141837004804985e-05,
412,1.8255483999382704e-05,
414,1.8295140747795814e-05,
416,1.8380995745246765e-05,
418,1.852213274833048e-05,
420,1.8575518748548346e-05,
422,1.8501549246138894e-05,
424,1.8623873496835587e-05,
426,1.8686061746848283e-05,
428,1.884726149728522e-05,
430,1.8902220246673096e-05,
432,1.903701349510811e-05,
434,1.904758650198346e-05,
436,1.913286875060294e-05,
438,1.9220744747144636e-05,
440,1.91631817506277e-05,
442,1.9447986749582924e-05,
444,1.9427372004429345e-05,
446,1.9236223997722846e-05,
448,1.9566300747101195e-05,
450,1.9698572999914176e-05,
452,1.979600125196157e-05,
454,1.9843095498799813e-05,
456,1.984318900213111e-05,
458,2.000042000145186e-05,
460,1.9921544000681024e-05,
462,2.015658849995816e-05,
464,2.0266225255909376e-05,
466,2.0346965502540115e-05,
468,2.0459581501199865e-05,
470,2.058729125565151e-05,
472,2.0641051996790338e-05,
474,2.073452199692838e-05,
476,2.0849689746682997e-05,
478,2.089553399855504e-05,
480,2.096371199877467e-05,
482,2.0961847250873688e-05,
484,2.109317175199976e-05,
486,2.107252574933227e-05,
488,2.1255642248434013e-05,
490,2.1316518003004603e-05,
492,2.143040474766167e-05,
494,2.136706025339663e-05,
496,2.1529113997530657e-05,
498,2.155529149604263e-05,
500,2.172961625183234e-05,
502,2.1751668748038356e-05,
504,2.1780877250421327e-05,
506,2.1851430246897508e-05,
508,2.208234950376209e-05,
510,2.2053255255741532e-05,
