length,rapidfuzz,polyleven,python-Levenshtein,edlib,editdistance
177,3.86795500162407E-06,7.6424229996519E-06,4.46263349999754E-05,2.67578404999767E-05,1.97932040000524E-05
179,3.89135774821625E-06,7.71753199978775E-06,4.56111369999235E-05,2.68085529999553E-05,1.99703380003484E-05
181,3.93377199725364E-06,7.85036700017372E-06,4.66031349997138E-05,2.69774389000304E-05,2.01106280001113E-05
183,3.96086650289362E-06,7.94323899981464E-06,4.76911260002453E-05,2.71206600000369E-05,2.02775614998245E-05
185,4.00169099884806E-06,8.07489699991493E-06,4.86778120002782E-05,2.71955809001156E-05,2.04500165000354E-05
187,4.06889875011984E-06,8.15699500026313E-06,4.97578519998569E-05,2.72709740998835E-05,2.06731094995121E-05
189,4.09630125068361E-06,8.26802599976873E-06,5.1048217999778E-05,2.73915306999697E-05,2.07533114999023E-05
191,4.11569975040038E-06,8.39496700018572E-06,5.18402419997983E-05,2.7571585700025E-05,2.1016968999902E-05
193,5.828570749145E-06,9.89514299999428E-06,5.29861459999665E-05,3.24374066000018E-05,2.18175005002195E-05
195,5.91540224922937E-06,1.00476229999913E-05,5.42863879995821E-05,3.26427162999607E-05,2.21546900002068E-05
197,5.97196200033068E-06,1.02316349998546E-05,5.54117819997373E-05,3.27046490001521E-05,2.21845279993431E-05
199,6.01783425008762E-06,1.03738650000196E-05,5.6465513999683E-05,3.28699259000132E-05,2.24432300001354E-05
201,6.06436725138337E-06,1.05176689999098E-05,5.7443092000085E-05,3.29131864000374E-05,2.24883435002994E-05
203,6.13844849794987E-06,1.06787810000242E-05,5.86146079999708E-05,3.3034673200018E-05,2.28853865000929E-05
205,6.17390749903279E-06,1.08183960001043E-05,5.98853809997308E-05,3.31349449999834E-05,2.2806776500147E-05
207,6.21988400234841E-06,1.09516079996865E-05,6.0913421999885E-05,3.31267399998978E-05,2.3045066499435E-05
209,6.27716625240282E-06,1.11397440000474E-05,6.1989548999918E-05,3.32409009000912E-05,2.31867319998855E-05
211,6.33653899785713E-06,1.12915790000443E-05,6.31490000000667E-05,3.32446739999796E-05,2.35477354999602E-05
213,6.38582999818027E-06,1.14167819997419E-05,6.43951320002998E-05,3.32874323999931E-05,2.36117550002746E-05
215,6.42925749707501E-06,1.1580817000322E-05,6.55529350001416E-05,3.33348360998571E-05,2.38276264999513E-05
217,6.47832624963485E-06,1.17077849999987E-05,6.6710239999793E-05,3.34361430999706E-05,2.39233154998146E-05
219,6.53549125127029E-06,1.18559620000269E-05,6.78839180000068E-05,3.34921985000619E-05,2.42701770002895E-05
221,6.58014474902302E-06,1.19933480000327E-05,6.91163470000902E-05,3.35576634999597E-05,2.4128734500664E-05
223,6.62794900199515E-06,1.21372009998595E-05,7.03486800002793E-05,3.36510380999243E-05,2.45325095002045E-05
225,6.68170374774491E-06,1.22700209999493E-05,7.15657050000118E-05,3.36249747999318E-05,2.44381134998548E-05
227,6.73163025203394E-06,1.24552170000243E-05,7.2818967999865E-05,3.37798799999291E-05,2.51585975001944E-05
229,6.77137200182187E-06,1.2569558999985E-05,7.4151762999918E-05,3.37375115999748E-05,2.47097199999189E-05
231,6.82760524796322E-06,1.27215289999185E-05,7.53858150001179E-05,3.38543230000141E-05,2.53934060001484E-05
233,6.87253025171231E-06,1.2856020000072E-05,7.49242790002427E-05,3.39658421000422E-05,2.52805219997754E-05
235,6.90077550098067E-06,1.29950349996761E-05,7.72238109998398E-05,3.4025439800098E-05,2.55982835005852E-05
237,6.94962275156286E-06,1.30615580001177E-05,7.92519149999862E-05,3.41003036999609E-05,2.55489440005476E-05
239,7.00029675135738E-06,1.33082829997875E-05,8.05222389999472E-05,3.42179765000765E-05,2.61014230000001E-05
241,7.0549062511418E-06,1.33901720000722E-05,8.18275130000074E-05,3.43569659000423E-05,2.59541699997499E-05
243,7.08871175083914E-06,1.35466599999745E-05,8.31556250000176E-05,3.44871641998907E-05,2.6275525499841E-05
245,7.15968250005972E-06,1.36594759997024E-05,8.45495999997183E-05,3.46661110001151E-05,2.63445870004944E-05
247,7.22116124961758E-06,1.38111940000272E-05,8.58526529996198E-05,3.46247622999726E-05,2.66573270000663E-05
249,7.27955199909047E-06,1.39734429999407E-05,8.72854690001077E-05,3.47513941000216E-05,2.6699327499955E-05
251,7.31817724954453E-06,1.40725420001218E-05,8.85603579999952E-05,3.48219408000659E-05,2.71605944999464E-05
253,7.34446625210694E-06,1.42405219999091E-05,8.9907648999997E-05,3.4944075400017E-05,2.72335059999023E-05
255,7.40341624987195E-06,1.4427650000016E-05,9.13748610000766E-05,3.54723844000546E-05,2.74169349995645E-05
257,9.62987075035926E-06,1.6279750999729E-05,,4.00784242001464E-05,3.08421870004167E-05
259,9.72253150030156E-06,1.65703830002713E-05,,4.02479001000756E-05,3.1100121500458E-05
261,9.82504399871687E-06,1.67442789997949E-05,,4.11241107000024E-05,3.13445795000007E-05
263,9.84866399812745E-06,1.69681289999062E-05,,4.33341140998891E-05,3.16560060000484E-05
265,9.9603102535184E-06,1.71444140000858E-05,,4.53242850999231E-05,3.18197525002688E-05
267,1.00293299983605E-05,1.72578669998984E-05,,4.61084667998875E-05,3.18635369994809E-05
269,1.00890614994569E-05,1.74231519999921E-05,,4.64117677998729E-05,3.22223650000524E-05
271,1.01009222489665E-05,1.76921699999184E-05,,4.63325114000327E-05,3.22928599998704E-05
273,1.02246737515088E-05,1.78787059999195E-05,,4.65581679000024E-05,3.25427640000271E-05
275,1.02650177504984E-05,1.80411320002349E-05,,4.65984696000305E-05,3.27023435002047E-05
277,1.03898257475521E-05,1.82639869999548E-05,,4.65954735998821E-05,3.29566754999178E-05
279,1.04375807495671E-05,1.84023920000982E-05,,4.67167353001059E-05,3.31179905006138E-05
281,1.05136872480216E-05,1.8604349999805E-05,,4.67862640000021E-05,3.33552689999124E-05
283,1.0589879249892E-05,1.87802249997731E-05,,4.67671734999385E-05,3.35218909995092E-05
285,1.06351127506059E-05,1.89484399998037E-05,,4.69933936999951E-05,3.39202965005825E-05
287,1.06997399998363E-05,1.91289219997088E-05,,4.69413198999973E-05,3.39650605001225E-05
