length,rapidfuzz,fuzzywuzzy
0,1.1116799578303471e-07,3.306284997961484e-07
2,2.0940849935868754e-07,3.885043006448541e-06
4,2.2630474995821714e-07,4.02973224845482e-06
6,2.2040875046513974e-07,4.113431001314893e-06
8,2.393984977970831e-07,4.380913254863117e-06
10,2.667842491064221e-07,4.448945248441305e-06
12,2.9635750252055006e-07,4.753771499963477e-06
14,3.4053499985020606e-07,5.037139249907341e-06
16,3.8534800114575774e-07,5.145817747688852e-06
18,4.4752574467565865e-07,5.524509251699783e-06
20,5.071097475592978e-07,5.772657750640065e-06
22,5.824127511004917e-07,6.162099496577867e-06
24,6.700282465317287e-07,6.606187751458492e-06
26,7.411017431877554e-07,7.134371000574902e-06
28,8.191340020857751e-07,7.5561152480077e-06
30,9.200102504109964e-07,8.016349500394426e-06
32,1.030636500217952e-06,8.826941753795837e-06
34,1.1417107525630853e-06,9.275811251427512e-06
36,1.2926290000905282e-06,1.0035830244305544e-05
38,1.434245248674415e-06,1.060202400549315e-05
40,1.5561944965156726e-06,1.1654587753582746e-05
42,1.7310402472503482e-06,1.2398054503137245e-05
44,1.919698246638291e-06,1.3306460248713847e-05
46,2.1077630008221602e-06,1.3823195004079026e-05
48,2.2588584979530423e-06,1.4973655997891911e-05
50,2.4758817526162603e-06,1.604485524876509e-05
52,2.649508496688213e-06,1.6585632001806515e-05
54,2.8283334977459162e-06,1.803241900051944e-05
56,3.1404409965034574e-06,1.9232953251048458e-05
58,3.254473747801967e-06,2.0535384501272346e-05
60,3.526612250425387e-06,2.1792929495859425e-05
62,3.7264162456267514e-06,2.379073300107848e-05
64,3.947199998947326e-06,2.5519147995510138e-05
66,9.710576494398992e-06,2.6681348244892434e-05
68,9.983693998947274e-06,2.8145583244622685e-05
70,1.0351219243602827e-05,2.994460349873407e-05
72,1.07238377458998e-05,3.166749750380404e-05
74,1.108990449574776e-05,3.405990949977422e-05
76,1.1326375752105377e-05,3.6414654496184084e-05
78,1.1741109497961588e-05,3.868732549744891e-05
80,1.225113600230543e-05,4.095756950118812e-05
82,1.2589108751853928e-05,4.217255175171885e-05
84,1.3046457497694065e-05,4.5982114752405326e-05
86,1.342883650067961e-05,4.8534788998949806e-05
88,1.365043300029356e-05,5.102538949722657e-05
90,1.4125667250482366e-05,5.362818950379733e-05
92,1.447210849437397e-05,5.587215174455196e-05
94,1.4851019252091646e-05,5.916524049825966e-05
96,1.5245700495142956e-05,6.239744299818995e-05
98,1.563864224590361e-05,6.680848150426754e-05
100,1.6103991496493108e-05,7.049641825142317e-05
102,1.6468932997668163e-05,7.498025974928168e-05
104,1.688933325203834e-05,7.737032799923327e-05
106,1.7198513996845578e-05,8.25512292503845e-05
108,1.7469902246375568e-05,8.538731274893507e-05
110,1.806578399555292e-05,8.973290275025647e-05
112,1.8490007503714878e-05,9.407360725163017e-05
114,1.8869938750867732e-05,9.666953174746596e-05
116,1.9352902498212644e-05,0.00010150782525306567
118,1.97481567520299e-05,0.00010529161724844016
120,2.0006138998724055e-05,0.00010976780224882532
122,2.0554092749080155e-05,0.00011508351774682524
124,2.088945075229276e-05,0.00012092114500410389
126,2.136006000364432e-05,0.00012536038200050824
128,2.172939774754923e-05,0.00012982462924992434
130,2.4680023998371325e-05,0.00013729330599744573
132,2.5286166252044495e-05,0.0001421785477505182
134,2.5770713247766254e-05,0.00015060942249692743
136,2.6392126499558798e-05,0.00015541609049978433
138,2.6705588250479194e-05,0.00016139615699648857
140,2.7294751002045813e-05,0.00016841147450031711
142,2.771131825284101e-05,0.00017602613199414917
144,2.8230532247107477e-05,0.00018238996300351572
146,2.886756024963688e-05,0.00018827699725079583
148,2.9381013744568918e-05,0.00019764233025489376
150,2.993130125105381e-05,0.00020268874050088925
152,3.035785799875157e-05,0.00020816667650069577
154,3.059005825343775e-05,0.00021676005300105318
156,3.125979499600362e-05,0.00022543438900174805
158,3.198458450060571e-05,0.00023122121350024826
160,3.220803475414868e-05,0.00024095299899636302
162,3.276608275336912e-05,0.0002483542477566516
164,3.342677750333678e-05,0.0002568474462532322
166,3.3696384751237927e-05,0.0002673184895029408
168,3.445742424810305e-05,0.00027648257050168467
170,3.48464807466371e-05,0.00028485499700036597
172,3.554179050115636e-05,0.00029252743600227405
174,3.582753324735677e-05,0.00030359775725082727
176,3.6408362750080416e-05,0.00031555817124899477
178,3.689804500027094e-05,0.0003230909319972852
180,3.726449699752265e-05,0.00033239979574864264
182,3.7771711249661165e-05,0.000346696079504909
184,3.8476739748148245e-05,0.0003548142319996259
186,3.9080611000827046e-05,0.00036742662225151433
188,3.977388975181384e-05,0.0003772781689986005
190,3.999610024766298e-05,0.0003880866642502951
192,4.065512875240529e-05,0.0004013893224982894
194,4.7419505754078274e-05,0.00041383606475574195
196,4.771030075062299e-05,0.00042676774974825094
198,4.8030928999651226e-05,0.00044046235000132585
200,4.903862799983472e-05,0.00045081049625150625
202,4.9836293001135346e-05,0.00046337534399935973
204,5.0226891245984006e-05,0.0004798557769972831
206,5.099834749853471e-05,0.0004973883260026924
208,5.1901868253480645e-05,0.000506162215002405
210,5.2302601754490755e-05,0.000517227816999366
212,5.286458699993091e-05,0.0005386825450041214
214,5.3441624753759243e-05,0.0005464471000013873
216,5.478774374932982e-05,0.000561901406996185
218,5.560775300546083e-05,0.00057665674774762
220,5.563409699971089e-05,0.000594345934005105
222,5.637746975116897e-05,0.0006063256917550462
224,5.6811172493326015e-05,0.000625708563500666
226,5.810356175061315e-05,0.0006432542687543901
228,5.85997550006141e-05,0.0006597294412495103
230,5.9403930754342583e-05,0.0006780544782450306
232,6.006907325354405e-05,0.000700670885751606
234,6.082388374488801e-05,0.0007148519074980868
236,6.112972050323152e-05,0.0007322957887445227
238,6.214176300272811e-05,0.0008031479714991292
240,6.267508149903733e-05,0.0008767044237465597
242,6.360860224958742e-05,0.0008597623189998557
244,6.40018877456896e-05,0.0008820566395006609
246,6.50205450001522e-05,0.0008418506720045116
248,6.578363674634602e-05,0.0008987738877549418
250,6.69605875009438e-05,0.0009669516552457936
252,6.728350749472157e-05,0.0009663696280040313
254,6.84695730014937e-05,0.000994917746997089
256,6.875901349849301e-05,
258,7.874691624601837e-05,
260,7.94085902525694e-05,
262,7.998800274799578e-05,
264,8.055779049755074e-05,
266,8.172757425199962e-05,
268,8.30814225046197e-05,
270,8.295337950403336e-05,
272,8.431048849888611e-05,
274,8.496800625289324e-05,
276,8.598660075222142e-05,
278,8.624883300217335e-05,
280,8.77169534942368e-05,
282,8.832321024965495e-05,
284,8.976285099925007e-05,
286,9.082512324675918e-05,
288,9.156720450118882e-05,
290,9.203350124880672e-05,
292,9.265757075627334e-05,
294,9.440723599982448e-05,
296,9.480942799564218e-05,
298,9.649438424821711e-05,
300,9.730783049599268e-05,
302,9.806694324652199e-05,
304,9.9420510501659e-05,
306,9.967964874522295e-05,
308,0.00010158059674722608,
310,0.00010113691475271481,
312,0.000102533055251115,
314,0.00010226736500044353,
316,0.00010372940199886216,
318,0.00010538927450397751,
320,0.00010576701824902557,
322,0.00011882184025307651,
324,0.00012057656825345475,
326,0.00012244446374825202,
328,0.00012257048625178869,
330,0.00012382817724574123,
332,0.00012455295625113648,
334,0.00012522733875084668,
336,0.00012764015725406352,
338,0.0001279914317492512,
340,0.0001279674210018129,
342,0.000128792784496909,
344,0.0001313547399986419,
346,0.0001317724319960689,
348,0.00013230470899725332,
350,0.0001332148962537758,
352,0.00013359159824904055,
354,0.00013640151474828599,
356,0.00013690988499729428,
358,0.00013646543225331696,
360,0.00013861136250488927,
362,0.00013997549200576033,
364,0.0001405317377502797,
366,0.00014201686900196364,
368,0.00014252632225543493,
370,0.00014268659499794013,
372,0.00014557306475035148,
374,0.0001444223017533659,
376,0.0001463581255011377,
378,0.00014831363675330068,
380,0.0001482420840038685,
382,0.0001496914227536763,
384,0.00014993006075383165,
386,0.00016667147599946474,
388,0.00016905163799674482,
390,0.00017072045849636196,
392,0.00017126517275028164,
394,0.00017311133925250032,
396,0.00017451144850201672,
398,0.0001764574180051568,
400,0.00017660269050247734,
402,0.00017780024549574592,
404,0.00017883638200146378,
406,0.00018179087300086393,
408,0.00018377360350132222,
410,0.00018371792574907887,
412,0.00018480104199989,
414,0.00018721658975118772,
416,0.00019013779899978544,
418,0.00019092707875097403,
420,0.0001902617379964795,
422,0.00019308366500627016,
424,0.0001948473202501191,
426,0.00019499420699867188,
428,0.00019415562500216764,
430,0.0001973425874966779,
432,0.00019541058675531532,
434,0.00019621021050261333,
436,0.0001981481172479107,
438,0.00020458681375021116,
440,0.000205111131996091,
442,0.00020437026974832407,
444,0.00020585818224935792,
446,0.0002067986717520398,
448,0.00020870545324578417,
450,0.000229201087000547,
452,0.00022923533750145,
454,0.00023078962550061988,
456,0.00023382827400200769,
458,0.00023593542224989507,
460,0.00023741826149489497,
462,0.00023863438974512974,
464,0.0002405285564964288,
466,0.00023930069924972487,
468,0.00024258021500281758,
470,0.0002432472014988889,
472,0.00024818813124875307,
474,0.0002475383739947574,
476,0.00025135518750175835,
478,0.00025315809274616184,
480,0.00025454109749989585,
482,0.0002567630179983098,
484,0.0002584404534936766,
486,0.00025871134175395127,
488,0.00025716225174983264,
490,0.00025895686550211395,
492,0.0002617708237521583,
494,0.0002630071394960396,
496,0.0002647938365043956,
498,0.0002666932015054044,
500,0.0002680751855004928,
502,0.00026762154499738246,
504,0.00027083949749794555,
506,0.00027307998049946034,
508,0.0002728212172514759,
510,0.00027857888549624477,
